,GEOGRAPHY_CODE,All categories: English as a household language,All people aged 16 and over in household have English as a main language (English or Welsh in Wales),At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales),No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales),No people in household have English as a main language (English or Welsh in Wales)
6007,E02006144,3636.0,0.9554455445544554,0.011276127612761276,0.003025302530253025,0.030253025302530254
6008,E02006145,2385.0,0.9865828092243186,0.006289308176100629,0.0008385744234800838,0.006289308176100629
6009,E02006146,2896.0,0.9848066298342542,0.007251381215469613,0.0003453038674033149,0.007596685082872928
6010,E02006147,3000.0,0.9853333333333333,0.011333333333333334,0.001,0.0023333333333333335
6011,E02006148,2945.0,0.9901528013582342,0.007470288624787776,0.0006791171477079797,0.001697792869269949
6012,E02006149,4590.0,0.9620915032679739,0.01917211328976035,0.0015250544662309367,0.01721132897603486
6013,E02006150,4902.0,0.9718482252141983,0.01346389228886169,0.0010199918400652795,0.013667890656874746
6014,E02006151,3693.0,0.9899810452206877,0.007581911724884917,0.00027078256160303275,0.002166260492824262
6015,E02006152,4268.0,0.9700093720712277,0.016635426429240863,0.0018744142455482662,0.01148078725398313
6016,E02006153,2767.0,0.9830140946873871,0.014094687387061799,0.0003614022406938923,0.002529815684857246
6017,E02006154,4115.0,0.9922235722964763,0.006075334143377886,0.0,0.001701093560145808
6018,E02006155,2315.0,0.9900647948164147,0.004751619870410367,0.0012958963282937365,0.0038876889848812094
6019,E02006156,3046.0,0.9668417596848325,0.024622455679579776,0.0016414970453053185,0.006894287590282338
6020,E02006157,2687.0,0.9843691849646445,0.008559732043170823,0.0011164867882396724,0.00595459620394492
6021,E02006158,3543.0,0.9915325994919559,0.004515946937623483,0.000846740050804403,0.0031047135196161446
6022,E02006159,2480.0,0.9879032258064516,0.005241935483870968,0.0004032258064516129,0.0064516129032258064
6023,E02006160,3588.0,0.9924749163879598,0.0016722408026755853,0.0013935340022296545,0.004459308807134894
6024,E02006161,2783.0,0.9755659360402443,0.013654329859863456,0.002874595759971254,0.007905138339920948
6025,E02006162,3678.0,0.9891245241979336,0.005709624796084829,0.0002718868950516585,0.004893964110929853
6026,E02006163,3226.0,0.9742715437073776,0.010849349039057656,0.002789832610043397,0.01208927464352139
