,GEOGRAPHY_CODE,Dependent children in household: Age 0 to 4,Dependent children in household: All ages,No adults in employment in household,No adults in employment in household: No dependent children,No adults in employment in household: With dependent children,One person in household with a long-term health problem or disability,One person in household with a long-term health problem or disability: No dependent children,One person in household with a long-term health problem or disability: With dependent children,count of Household; All households
3020,E02003104,0.11764705882352941,0.30600750938673343,0.2706508135168961,0.246558197747184,0.02409261576971214,0.24311639549436795,0.1974342928660826,0.045682102628285357,1
3021,E02003105,0.08927173061863743,0.3018794048551292,0.37705559906029756,0.35747846515270165,0.01957713390759593,0.2576350822239624,0.22043852779953016,0.03719655442443226,1
3022,E02003106,0.14043381535038932,0.3014460511679644,0.22525027808676307,0.19632925472747498,0.028921023359288096,0.17797552836484984,0.14238042269187987,0.035595105672969966,1
3023,E02003107,0.10855117412494461,0.25476295968099244,0.3385024368630926,0.3070447496677005,0.03145768719539211,0.25808595480726626,0.21621621621621623,0.04186973859105007,1
3024,E02003108,0.0962496721741411,0.28665093102543926,0.2871754523996853,0.26226068712300027,0.024914765276685024,0.23446105428796224,0.18777865198006818,0.04668240230789405,1
3025,E02003109,0.10061349693251534,0.29611451942740286,0.35010224948875257,0.3443762781186094,0.0057259713701431495,0.23680981595092024,0.20572597137014315,0.031083844580777096,1
3026,E02003110,0.18609304652326164,0.41720860430215106,0.1615807903951976,0.14882441220610304,0.012756378189094548,0.15532766383191596,0.11455727863931967,0.0407703851925963,1
3027,E02003111,0.10598735589438453,0.2740795834882856,0.34957233172182967,0.33878765340275196,0.010784678319077723,0.26961695797694313,0.23465972480476013,0.03495723317218297,1
3028,E02003112,0.11916508538899431,0.3111954459203036,0.36394686907020873,0.31537001897533207,0.04857685009487666,0.3077798861480076,0.24478178368121442,0.06299810246679317,1
3029,E02003113,0.09805335255948089,0.2876712328767123,0.2874309060322038,0.26051429944724824,0.026916606584955538,0.2244652727709685,0.18817591925018023,0.03628935352078827,1
3030,E02003114,0.1011809766996489,0.25438876476220873,0.36897542291733165,0.3396105968720077,0.02936482604532397,0.2853495052665177,0.25023938716884775,0.035110118097669965,1
3031,E02003115,0.12093139709564346,0.2809213820731097,0.3087130696044066,0.2771657486229344,0.031547320981472206,0.25087631447170755,0.20931397095643464,0.04156234351527291,1
3032,E02003116,0.1246936274509804,0.2925857843137255,0.36856617647058826,0.31464460784313725,0.05392156862745098,0.28921568627450983,0.23621323529411764,0.053002450980392156,1
3033,E02003117,0.13526970954356846,0.29930843706777316,0.3153526970954357,0.27828492392807747,0.03706777316735823,0.24564315352697094,0.2016597510373444,0.04398340248962656,1
3034,E02003118,0.12658823529411764,0.32,0.23247058823529412,0.2096470588235294,0.022823529411764704,0.20847058823529413,0.16117647058823528,0.04729411764705883,1
3035,E02003119,0.11361998558731684,0.3247657938986308,0.2973816958923853,0.250780687004564,0.04660100888782128,0.2524621667067019,0.20057650732644727,0.05188565938025463,1
3036,E02003120,0.08241291418861513,0.26734636080430474,0.35853865760407816,0.33871424525630134,0.019824412347776835,0.2551685075049561,0.2206173888416879,0.034551118663268196,1
3037,E02003121,0.08837209302325581,0.25651162790697674,0.29767441860465116,0.2858139534883721,0.01186046511627907,0.22372093023255815,0.19279069767441862,0.030930232558139537,1
3038,E02003122,0.10059795990151249,0.23883221948645797,0.40309532184312347,0.38937741822018995,0.01371790362293352,0.2775237425255012,0.2427013717903623,0.03482237073513894,1
3039,E02003123,0.11060433295324971,0.2916191562143672,0.39709236031927025,0.3403648802736602,0.05672748004561003,0.3249714937286203,0.26425313568985176,0.06071835803876853,1
3040,E02003124,0.15151515151515152,0.3252325232523252,0.37353735373537356,0.30993099309930994,0.0636063606360636,0.3084308430843084,0.24872487248724873,0.059705970597059704,1
3041,E02003125,0.10725075528700906,0.2783232628398791,0.3889728096676737,0.3285498489425982,0.06042296072507553,0.3285498489425982,0.26510574018126887,0.0634441087613293,1
3042,E02003126,0.09728429013406668,0.2650395324853902,0.31832244757648676,0.28188380886902714,0.03643863870745961,0.3114472327260227,0.25403918872464765,0.057408044001375044,1
3043,E02003127,0.13758169934640524,0.3349673202614379,0.3869281045751634,0.3104575163398693,0.07647058823529412,0.32973856209150326,0.2545751633986928,0.07516339869281045,1
3044,E02003128,0.12921789170808265,0.2924404917603976,0.39210044467695526,0.33821606068532567,0.05388438399162961,0.31232016740779495,0.25869735809573635,0.053622809312058595,1
3045,E02003129,0.13297101449275361,0.30543478260869567,0.3923913043478261,0.36195652173913045,0.030434782608695653,0.30289855072463767,0.2572463768115942,0.04565217391304348,1
3046,E02003130,0.11725865209471767,0.29918032786885246,0.3802367941712204,0.3087431693989071,0.0714936247723133,0.3173952641165756,0.2522768670309654,0.0651183970856102,1
