,GEOGRAPHY_CODE,All people aged 3 and over,No knowledge of Welsh,Other combination of skills,Speaks and reads but does not write Welsh,Speaks but does not read or write Welsh,"Speaks, reads and writes Welsh",Understands spoken Welsh only
155,W02000156,1,0.19832985386221294,0.019345859429366737,0.049686847599164925,0.08350730688935282,0.5742519137091162,0.07487821851078635
156,W02000157,1,0.21385614625932162,0.017199903776762088,0.04402213134471975,0.07589607890305508,0.582511426509502,0.0665143132066394
157,W02000158,1,0.31264964086193137,0.027932960893854747,0.0446927374301676,0.08140462889066241,0.4197924980047885,0.11352753391859537
158,W02000159,1,0.3205173635719348,0.02639971651311127,0.04571226080793763,0.09461374911410347,0.3942239546420978,0.11853295535081503
159,W02000160,1,0.41168619308912946,0.03885510900192792,0.03307133323446537,0.06436304315586534,0.3304167284591428,0.12160759305946908
160,W02000161,1,0.49122468659594987,0.04609450337512054,0.03297974927675988,0.07116682738669239,0.2214079074252652,0.13712632594021215
161,W02000162,1,0.46602821276045037,0.04296622233725896,0.038436650705319014,0.06574349682929986,0.25973857900867087,0.1270868383590009
162,W02000163,1,0.49128205128205127,0.048,0.0361025641025641,0.06707692307692308,0.22338461538461538,0.13415384615384615
163,W02000164,1,0.45251809186235414,0.04666962044011224,0.04017131885984345,0.07650273224043716,0.2495938561512332,0.1345443804460198
164,W02000165,1,0.5211267605633803,0.04798558794628235,0.031116934163118243,0.06403537504094334,0.1906321650835244,0.1451031772027514
165,W02000166,1,0.4911710693600791,0.04153128973018788,0.03136036163299901,0.07501059471676791,0.23590902669868624,0.12501765786127983
166,W02000167,1,0.5583975706610605,0.043681382854473254,0.029782761037140854,0.06750759168418594,0.16561551039476757,0.13501518336837187
167,W02000168,1,0.4793985549697325,0.02421402069908221,0.04003124389767623,0.06248779535247022,0.27943760984182775,0.1144307752392111
168,W02000169,1,0.5822267620020429,0.03643173306094655,0.028941096356826693,0.05311542390194075,0.19759391669504028,0.10169106798320282
169,W02000170,1,0.7376556939501779,0.03881227758007118,0.01901690391459075,0.026579181494661923,0.10698398576512455,0.07095195729537367
170,W02000171,1,0.6879865669363456,0.034498549839719124,0.01892840787666005,0.03205617462982751,0.1454739734391696,0.08105632727827812
171,W02000172,1,0.6787594415197986,0.0449759670405127,0.023231860837720303,0.04303044174868391,0.11032272831311513,0.09967956054016938
172,W02000173,1,0.726032315978456,0.04039497307001795,0.0177737881508079,0.02710951526032316,0.12495511669658887,0.06373429084380611
