,GEOGRAPHY_CODE,1 person disabled under the Equality Act in household,2 or more people disabled under the Equality Act in household,No people disabled under the Equality Act in household,Total: All households
978,E02001030,0.22871917263325378,0.07637231503579953,0.6949085123309467,1
979,E02001031,0.28193832599118945,0.06404608607251779,0.6540155879362928,1
980,E02001032,0.2843197071384991,0.08663819402074435,0.6290420988407566,1
981,E02001033,0.2578241430700447,0.07004470938897168,0.6721311475409836,1
982,E02001034,0.34433846906334065,0.07752506725360724,0.578136463683052,1
983,E02001035,0.24256598730370865,0.07450718342799867,0.6829268292682927,1
984,E02001036,0.2546864899806076,0.07756948933419522,0.6677440206851971,1
985,E02001037,0.242504118616145,0.05930807248764415,0.6981878088962109,1
986,E02001038,0.2982062780269058,0.07062780269058296,0.6311659192825112,1
987,E02001039,0.2991744947338457,0.08482778252206091,0.6159977227440934,1
988,E02001040,0.24012158054711247,0.06876899696048633,0.6911094224924013,1
989,E02001041,0.26531213191990577,0.07832744405182568,0.6563604240282686,1
990,E02001042,0.25578983753888695,0.059108192188040094,0.685101970273073,1
991,E02001043,0.26981450252951095,0.07462057335581787,0.6555649241146712,1
992,E02001044,0.24015748031496062,0.08303507516105942,0.67680744452398,1
993,E02001045,0.31963343515690085,0.08886420438767009,0.591502360455429,1
994,E02001046,0.2875085635989952,0.08791961635076502,0.6245718200502398,1
995,E02001047,0.3009864647855013,0.09153475567790778,0.6074787795365909,1
996,E02001048,0.2727272727272727,0.07427588184685976,0.6529968454258676,1
997,E02001049,0.27824019024970276,0.0887039239001189,0.6330558858501784,1
998,E02001050,0.28313824739006643,0.06801645049035115,0.6488453021195824,1
999,E02001051,0.2631131273036575,0.07853700028352707,0.6583498724128154,1
1000,E02001052,0.2661527998186352,0.0863749716617547,0.6474722285196101,1
1001,E02001053,0.3142857142857143,0.08549618320610687,0.6002181025081789,1
1002,E02001055,0.3000501756146513,0.08028098344204716,0.6196688409433015,1
1003,E02001056,0.3156213704994193,0.10394889663182347,0.5804297328687572,1
1004,E02001059,0.26151281516982705,0.07709939570743905,0.6613877891227339,1
1005,E02001061,0.29245719574271173,0.08468301712170291,0.6228597871355854,1
1006,E02001062,0.27675070028011206,0.07254901960784314,0.6507002801120448,1
1007,E02001063,0.24833958995090963,0.04475887958417557,0.7069015304649148,1
1008,E02001064,0.29470452801227937,0.08007162957278076,0.6252238424149399,1
1009,E02001065,0.2809573361082206,0.07154006243496358,0.6475026014568158,1
1010,E02001066,0.271461716937355,0.07395591647331787,0.6545823665893271,1
1011,E02001067,0.28585294831351615,0.08517350157728706,0.6289735501091968,1
1012,E02001068,0.2773598641106528,0.06576073768502791,0.6568793982043193,1
1013,E02001069,0.2514524750174297,0.06971880083662561,0.6788287241459446,1
1014,E02001070,0.2747532632919452,0.09041706462909901,0.6348296720789558,1
1015,E02001072,0.2757117209540908,0.05206463195691203,0.6722236470889972,1
1016,E02001073,0.23983943803311591,0.05393878575012544,0.7062217762167586,1
1017,E02001074,0.28774254614292477,0.09725508755324183,0.6150023663038334,1
1018,E02001075,0.2799188640973631,0.06172124022022602,0.6583598956824109,1
1019,E02001076,0.2446351931330472,0.1044349070100143,0.6509298998569385,1
1020,E02001077,0.2356227407163983,0.06769635228393033,0.6966809069996713,1
1021,E02001078,0.28289473684210525,0.085,0.6321052631578947,1
1022,E02001079,0.3045876887340302,0.09552845528455285,0.5998838559814169,1
1023,E02001080,0.25313868613138685,0.08992700729927007,0.656934306569343,1
1024,E02001081,0.2375848517327617,0.05466237942122187,0.7077527688460165,1
1025,E02001082,0.21620689655172415,0.05344827586206897,0.7303448275862069,1
1026,E02001083,0.18792934249263984,0.03532875368007851,0.7767419038272817,1
1027,E02001084,0.25375375375375375,0.07837837837837838,0.6678678678678679,1
1028,E02001085,0.32188573212613175,0.1189509834530128,0.5591632844208555,1
1029,E02001086,0.26558265582655827,0.052845528455284556,0.6815718157181572,1
1030,E02001087,0.22681125980618366,0.03484079372404245,0.7383479464697739,1
1031,E02001088,0.30029077451757863,0.09199048374306107,0.6077187417393602,1
1032,E02001089,0.22111180512179887,0.05902560899437851,0.7198625858838226,1
1033,E02001090,0.26864244741873805,0.07202039515615041,0.6593371574251116,1
1034,E02001091,0.28232869654817105,0.080370942812983,0.637300360638846,1
1035,E02001092,0.29379704126654554,0.08305216714248638,0.6231507915909681,1
1036,E02001093,0.29168791432942376,0.10402855685874554,0.6042835288118307,1
1037,E02001094,0.32564037534871926,0.11387268577225462,0.5604869388790261,1
1038,E02001095,0.3267379679144385,0.10454545454545454,0.568716577540107,1
1039,E02001096,0.32321167883211677,0.08963503649635036,0.5871532846715328,1
1040,E02001097,0.29883753898497306,0.10178622058406578,0.5993762404309612,1
1041,E02001098,0.287651154268963,0.08098204470502016,0.6313668010260168,1
1042,E02001099,0.2895927601809955,0.08333333333333333,0.6270739064856712,1
1043,E02001100,0.2829532276768458,0.0776961731735601,0.6393505991495941,1
1044,E02001101,0.2536764705882353,0.07066993464052287,0.6756535947712419,1
1045,E02001102,0.2544519192718639,0.07083498219232291,0.6747130985358132,1
1046,E02001103,0.25329489291598023,0.06878088962108732,0.6779242174629324,1
1047,E02001104,0.24938445304256068,0.0816039395005276,0.6690116074569117,1
1048,E02001105,0.3013084112149533,0.06654205607476636,0.6321495327102804,1
1049,E02001106,0.28852459016393445,0.06484517304189436,0.6466302367941712,1
1050,E02001107,0.26143024618991795,0.0719030871434154,0.6666666666666666,1
1051,E02001108,0.29541595925297115,0.08404074702886248,0.6205432937181664,1
1052,E02001109,0.3048780487804878,0.07911957168352171,0.6160023795359905,1
1053,E02001110,0.2217558586918503,0.04686953480237845,0.7313746065057712,1
1054,E02001111,0.33469150174621654,0.08440046565774156,0.580908032596042,1
1055,E02001112,0.233278955954323,0.06892332789559544,0.6977977161500816,1
1056,E02001113,0.2807646356033453,0.10513739545997611,0.6140979689366786,1
1057,E02001114,0.2985971943887776,0.08245061551674777,0.6189521900944747,1
1058,E02001115,0.2706333973128599,0.06833013435700576,0.6610364683301344,1
