,GEOGRAPHY_CODE,Household reference person has not previously served in regular or reserve UK armed forces,Household reference person previously served in both regular and reserve UK armed forces,Household reference person previously served in regular UK armed forces,Household reference person previously served in reserve UK armed forces,Total: All households
6004,E02006248,0.9401429422275164,0.0014889815366289458,0.048243001786777845,0.01012507444907683,3358.0
6005,E02006249,0.9426542872747132,0.001365374112506827,0.04478427089022392,0.01119606772255598,3662.0
6006,E02006250,0.9574656623836951,0.001329198050509526,0.031679220203810365,0.009525919361984936,4514.0
6007,E02006251,0.9636118598382749,0.0025028879476318828,0.02849441663457836,0.005390835579514825,5194.0
6008,E02006252,0.9461797212878423,0.002162421912542047,0.041566554541086015,0.010091302258529554,4162.0
6009,E02006253,0.9189952904238619,0.004395604395604396,0.06687598116169545,0.009733124018838305,3185.0
6010,E02006254,0.9458717884759291,0.003492142678972312,0.042404589673235224,0.008231479171863308,4009.0
6011,E02006255,0.9499009340503821,0.002547410133031418,0.040475516558165864,0.007076139258420606,3533.0
6012,E02006256,0.958827634333566,0.0025587345894394044,0.03047220283786927,0.008141428239125378,4299.0
6013,E02006257,0.9290060851926978,0.004394861392832995,0.057809330628803245,0.00878972278566599,2958.0
6014,E02006258,0.9445185382768738,0.0032008535609495867,0.04294478527607362,0.00933582288610296,3749.0
6015,E02006259,0.9338165773715726,0.0034667507091080997,0.050425464859754174,0.01229120705956508,3173.0
6016,E02006260,0.9390070921985816,0.004822695035460993,0.04453900709219858,0.011631205673758865,3525.0
6017,E02006261,0.9261198371146016,0.0034904013961605585,0.0564281559045957,0.013961605584642234,3438.0
6018,E02006262,0.9204988308651598,0.0036373083917900753,0.062094050402702,0.013769810340348142,3849.0
6019,E02006263,0.9266808640097354,0.005780346820809248,0.053240036507453604,0.014298752662001825,3287.0
6020,E02006264,0.9255715045188729,0.0034556087187666137,0.058213716108452954,0.012759170653907496,3762.0
6021,E02006265,0.9212139791538934,0.003678724708767627,0.06376456161863887,0.011342734518700184,3262.0
6022,E02006266,0.9222623345367028,0.0038507821901323704,0.06209386281588448,0.011793020457280385,4155.0
6023,E02006267,0.9271636675235647,0.002570694087403599,0.060839760068551844,0.009425878320479864,3501.0
6024,E02006268,0.9098449332852506,0.00576992426974396,0.07356653443923548,0.010818608005769925,2773.0
6025,E02006269,0.9052338185196656,0.004955094456488077,0.07866212449674823,0.011148962527098173,3229.0
6026,E02006270,0.9290195375515325,0.003226384656748521,0.05753719304534863,0.010216884746370317,5579.0
6027,E02006271,0.9218412850635339,0.005274514504914889,0.06257492208103572,0.010309278350515464,4171.0
6028,E02006272,0.9126388471930351,0.0024016811768237767,0.07385169618733113,0.011107775442809968,3331.0
6029,E02006273,0.8947540983606558,0.005573770491803279,0.0859016393442623,0.01377049180327869,3050.0
6030,E02006274,0.9193366000753863,0.0022615906520919715,0.06671692423671316,0.011684885035808518,2653.0
6031,E02006275,0.9343589743589743,0.003418803418803419,0.0547008547008547,0.007521367521367521,2925.0
6032,E02006276,0.9208286038592508,0.0031214528944381384,0.06526674233825198,0.010783200908059024,3524.0
6033,E02006277,0.9431540342298288,0.002139364303178484,0.04462102689486552,0.010085574572127139,3272.0
